date,national_demand,wind_generation,solar_generation
2023-01-01,24189.979166666668,1733.2083333333333,245.72916666666666
2023-01-02,27005.520833333332,1122.4166666666667,733.75
2023-01-03,29646.3125,2927.6875,92.47916666666667
2023-01-04,27967.145833333332,3670.3125,336.7291666666667
2023-01-05,29392.5,2528.2291666666665,228.47916666666666
2023-01-06,28316.125,3102.8541666666665,463.3958333333333
2023-01-07,25280.9375,3435.125,245.91666666666666
2023-01-08,26629.479166666668,3074.6458333333335,316.8958333333333
2023-01-09,30403.104166666668,2832.2291666666665,586.2708333333334
2023-01-10,31143.895833333332,3470.0,60.041666666666664
2023-01-11,29849.6875,3869.8958333333335,452.2083333333333
2023-01-12,30083.520833333332,3594.1041666666665,184.95833333333334
2023-01-13,29244.958333333332,3487.875,646.0208333333334
2023-01-14,26709.229166666668,3664.0625,265.7083333333333
2023-01-15,27734.791666666668,2670.7291666666665,639.1041666666666
2023-01-16,33672.125,1636.875,624.8541666666666
2023-01-17,35442.354166666664,1541.0625,860.8333333333334
2023-01-18,34685.1875,2478.7291666666665,931.9583333333334
2023-01-19,34829.125,1772.8333333333333,1061.9166666666667
2023-01-20,34210.4375,1213.8125,1143.5833333333333
2023-01-21,31438.791666666668,1732.0208333333333,999.5208333333334
2023-01-22,31328.208333333332,1738.6666666666667,597.2708333333334
2023-01-23,35039.020833333336,1127.4375,865.6458333333334
2023-01-24,35124.4375,996.8333333333334,807.3541666666666
2023-01-25,34792.0625,1930.0416666666667,237.5625
2023-01-26,34143.208333333336,1339.7916666666667,599.6041666666666
2023-01-27,34123.4375,873.6458333333334,517.2291666666666
2023-01-28,31320.104166666668,746.875,376.9583333333333
2023-01-29,27744.083333333332,2903.1458333333335,450.6458333333333
2023-01-30,30565.104166666668,2661.8333333333335,1121.125
2023-01-31,29862.583333333332,3767.9791666666665,925.5416666666666
2023-02-01,30107.75,3445.8958333333335,688.2083333333334
2023-02-02,29771.333333333332,3462.125,511.4583333333333
2023-02-03,29484.666666666668,2371.8333333333335,539.7083333333334
2023-02-04,27871.833333333332,1798.6041666666667,220.29166666666666
2023-02-05,28041.354166666668,1261.6875,1261.0625
2023-02-06,31858.375,1263.125,1588.7708333333333
2023-02-07,32794.770833333336,828.75,1310.5625
2023-02-08,31780.875,2432.1875,1349.3333333333333
2023-02-09,31520.083333333332,1951.0,1333.6041666666667
2023-02-10,31042.5,2634.5208333333335,782.6458333333334
2023-02-11,28143.729166666668,1350.7708333333333,435.2291666666667
2023-02-12,28129.0,1001.7708333333334,335.25
2023-02-13,30433.229166666668,1136.2083333333333,1322.1875
2023-02-14,31021.354166666668,1648.4583333333333,1259.1666666666667
2023-02-15,30010.9375,2233.875,1164.8541666666667
2023-02-16,30374.583333333332,1808.0,418.8541666666667
2023-02-17,27381.6875,3443.4375,773.875
2023-02-18,25304.541666666668,2395.6458333333335,569.6458333333334
2023-02-19,24233.145833333332,2507.3541666666665,1394.1458333333333
2023-02-20,27629.854166666668,3231.9791666666665,1078.7916666666667
2023-02-21,30124.020833333332,1468.3125,666.8958333333334
2023-02-22,30365.375,1649.3958333333333,659.8333333333334
2023-02-23,30447.0,1882.5208333333333,1038.4583333333333
2023-02-24,30149.270833333332,2215.5833333333335,865.0416666666666
2023-02-25,27893.229166666668,1815.6458333333333,967.2291666666666
2023-02-26,27702.270833333332,1166.6875,1447.5
2023-02-27,32134.333333333332,1009.5833333333334,1008.9791666666666
2023-02-28,32316.395833333332,1288.875,693.1458333333334
2023-03-01,31967.583333333332,1630.0208333333333,741.4791666666666
2023-03-02,31807.916666666668,877.7916666666666,1526.3541666666667
2023-03-03,32557.0,725.8958333333334,578.9791666666666
2023-03-04,29705.354166666668,538.3958333333334,527.8125
2023-03-05,29436.0,483.75,544.7708333333334
2023-03-06,32192.5,1789.7916666666667,754.5625
2023-03-07,32505.833333333332,895.1666666666666,1372.3541666666667
2023-03-08,34467.25,1339.7291666666667,539.8125
2023-03-09,34015.1875,1861.7291666666667,356.1875
2023-03-10,32245.479166666668,1612.2083333333333,1298.7291666666667
2023-03-11,29414.270833333332,1293.0208333333333,1382.3125
2023-03-12,25847.333333333332,2662.1041666666665,1198.9166666666667
2023-03-13,27563.395833333332,3926.6041666666665,978.2916666666666
2023-03-14,29775.354166666668,2112.4375,1853.6458333333333
2023-03-15,32105.791666666668,1494.7708333333333,1084.0
2023-03-16,29395.645833333332,2532.8958333333335,733.125
2023-03-17,28545.375,1278.8541666666667,1196.7291666666667
2023-03-18,25855.708333333332,1016.8125,1146.375
2023-03-19,24941.708333333332,1189.4583333333333,1560.8333333333333
2023-03-20,29426.875,1525.4583333333333,579.0
2023-03-21,27189.479166666668,2717.3333333333335,1402.3333333333333
2023-03-22,25517.416666666668,3902.5208333333335,1704.2083333333333
2023-03-23,26422.416666666668,2828.7291666666665,1549.8125
2023-03-24,25533.3125,2841.625,1987.2916666666667
2023-03-25,24140.416666666668,2226.8958333333335,1704.3125
2023-03-26,26073.369565217392,1522.4347826086957,1046.7173913043478
2023-03-27,28696.479166666668,706.3958333333334,2405.3541666666665
2023-03-28,30133.979166666668,2036.1041666666667,483.5625
2023-03-29,29147.708333333332,2110.3958333333335,558.3541666666666
2023-03-30,26565.333333333332,1963.625,1763.5833333333333
2023-03-31,27523.125,2099.5,758.0
2023-04-01,25677.854166666668,1478.6458333333333,919.8541666666666
2023-04-02,24590.395833333332,892.625,1974.7708333333333
2023-04-03,26785.625,1409.25,3061.4791666666665
2023-04-04,26604.291666666668,1420.3125,3200.2083333333335
2023-04-05,28788.895833333332,1402.7291666666667,1127.9375
2023-04-06,26325.145833333332,1795.3125,1966.8333333333333
2023-04-07,23369.604166666668,658.6041666666666,3089.4166666666665
2023-04-08,22333.0,970.3541666666666,2723.4166666666665
2023-04-09,21418.020833333332,2169.125,2220.9583333333335
2023-04-10,21682.291666666668,2971.9166666666665,1747.5833333333333
2023-04-11,25165.3125,3148.4791666666665,1756.4375
2023-04-12,26211.8125,3393.8125,1872.4375
2023-04-13,25790.520833333332,2111.6041666666665,2587.125
2023-04-14,28561.541666666668,745.8541666666666,1307.9791666666667
2023-04-15,24640.0625,635.9791666666666,2343.8333333333335
2023-04-16,24568.875,847.5625,1532.7916666666667
2023-04-17,27269.645833333332,696.9583333333334,1747.6875
2023-04-18,25842.25,1874.9375,2654.6041666666665
2023-04-19,25252.583333333332,2448.5208333333335,2420.6875
2023-04-20,24183.6875,2237.7291666666665,3425.8958333333335
2023-04-21,26604.3125,1966.125,1462.6666666666667
2023-04-22,24350.083333333332,1149.2083333333333,1951.0
2023-04-23,24254.125,1486.1458333333333,1598.6458333333333
2023-04-24,27806.979166666668,1786.25,1705.9791666666667
2023-04-25,27287.208333333332,790.1666666666666,3048.1041666666665
2023-04-26,28512.625,524.5416666666666,1840.6458333333333
2023-04-27,28515.0625,1666.5625,1139.25
2023-04-28,27099.145833333332,956.7708333333334,1495.5416666666667
2023-04-29,23288.541666666668,576.5833333333334,2538.9583333333335
2023-04-30,22860.541666666668,996.3125,1804.3333333333333
2023-05-01,22914.958333333332,1193.375,2063.6041666666665
2023-05-02,25997.270833333332,669.6458333333334,2079.3333333333335
2023-05-03,24128.708333333332,1546.2916666666667,3270.5416666666665
2023-05-04,23962.708333333332,2832.6458333333335,2354.3333333333335
2023-05-05,24915.6875,1538.4166666666667,1973.5625
2023-05-06,23618.604166666668,787.0,1274.7083333333333
2023-05-07,21408.604166666668,784.1875,2423.0
2023-05-08,22966.416666666668,1579.6875,1010.0208333333334
2023-05-09,25525.5625,752.25,1967.8541666666667
2023-05-10,24995.708333333332,1087.875,2447.1875
2023-05-11,25283.9375,537.8541666666666,2331.9791666666665
2023-05-12,24770.708333333332,1388.1041666666667,1641.0416666666667
2023-05-13,21975.520833333332,785.5208333333334,2424.6875
2023-05-14,21121.020833333332,955.4791666666666,2551.4375
2023-05-15,22879.5,1728.0208333333333,3083.1875
2023-05-16,24164.270833333332,1422.0,3087.6875
2023-05-17,25023.958333333332,653.9583333333334,2603.8541666666665
2023-05-18,24293.375,684.9375,2745.9791666666665
2023-05-19,24584.333333333332,657.4791666666666,2180.1041666666665
2023-05-20,19932.145833333332,903.375,3583.0625
2023-05-21,19689.166666666668,774.8333333333334,3337.4375
2023-05-22,22650.270833333332,1316.6458333333333,2889.7083333333335
2023-05-23,23575.6875,970.5,2752.4583333333335
2023-05-24,22494.166666666668,1189.3541666666667,3636.5625
2023-05-25,23577.229166666668,739.7916666666666,2842.2708333333335
2023-05-26,22230.625,656.6666666666666,3586.2291666666665
2023-05-27,18872.166666666668,1136.4583333333333,3744.7916666666665
2023-05-28,18846.666666666668,1019.375,3068.1041666666665
2023-05-29,19032.770833333332,1249.7708333333333,3502.7916666666665
2023-05-30,22430.416666666668,1197.5625,2891.9375
2023-05-31,23409.979166666668,1317.3541666666667,2041.2291666666667
2023-06-01,22907.0625,1405.4166666666667,2530.0
2023-06-02,21421.645833333332,1141.6458333333333,3557.1458333333335
2023-06-03,18828.291666666668,835.2291666666666,3747.1875
2023-06-04,18681.4375,842.2083333333334,3752.0208333333335
2023-06-05,22691.875,928.125,2781.8125
2023-06-06,23936.395833333332,1015.9375,1897.4791666666667
2023-06-07,23022.5625,1094.0833333333333,3070.6041666666665
2023-06-08,21826.770833333332,1622.4583333333333,3569.0208333333335
2023-06-09,21394.6875,1756.8541666666667,3498.4166666666665
2023-06-10,20107.770833333332,1463.4583333333333,3037.5
2023-06-11,20743.791666666668,657.0416666666666,2761.0416666666665
2023-06-12,24144.479166666668,544.7083333333334,2942.4166666666665
2023-06-13,23095.666666666668,1049.4375,3726.3541666666665
2023-06-14,22927.5,1117.6666666666667,3865.625
2023-06-15,23338.979166666668,783.875,3677.375
2023-06-16,22983.5,545.5625,3506.8125
2023-06-17,21205.770833333332,630.1875,2400.125
2023-06-18,21191.104166666668,836.0,2071.1875
2023-06-19,22804.145833333332,1471.4375,3142.3541666666665
2023-06-20,25312.479166666668,750.5,1880.2708333333333
2023-06-21,23610.833333333332,1001.7083333333334,3102.4375
2023-06-22,24225.708333333332,498.8125,3238.2708333333335
2023-06-23,23344.270833333332,1370.1875,2687.5416666666665
2023-06-24,20488.958333333332,1402.2083333333333,2745.0
2023-06-25,19656.458333333332,2026.9583333333333,3137.25
2023-06-26,22029.895833333332,1813.7083333333333,3091.625
2023-06-27,24670.833333333332,1437.5625,1302.25
2023-06-28,25245.020833333332,991.0625,1384.1875
2023-06-29,23164.208333333332,1146.3958333333333,2985.6875
2023-06-30,23466.895833333332,1732.5416666666667,1237.0625
2023-07-01,18466.833333333332,3108.7083333333335,2404.5416666666665
2023-07-02,17714.729166666668,3013.2708333333335,2531.7708333333335
2023-07-03,21194.0625,2879.1875,2428.7708333333335
2023-07-04,23979.1875,1327.6041666666667,1585.2291666666667
2023-07-05,22934.895833333332,1402.6666666666667,2581.9791666666665
2023-07-06,22478.166666666668,1744.0416666666667,2740.4791666666665
2023-07-07,21323.729166666668,2367.2708333333335,3668.5625
2023-07-08,21559.1875,1547.5,1677.9375
2023-07-09,20361.145833333332,888.4166666666666,2467.4583333333335
2023-07-10,23119.645833333332,1644.0833333333333,2103.9375
2023-07-11,23212.479166666668,1949.9791666666667,2005.0625
2023-07-12,22407.854166666668,1926.125,2634.3125
2023-07-13,23374.833333333332,1154.625,2467.2083333333335
2023-07-14,24028.625,2228.3333333333335,787.6458333333334
2023-07-15,18780.333333333332,3346.2291666666665,2594.3125
2023-07-16,17970.4375,3389.0833333333335,2514.1458333333335
2023-07-17,22086.6875,1707.8958333333333,2996.1666666666665
2023-07-18,24255.020833333332,645.625,1937.9375
2023-07-19,23706.583333333332,792.25,2593.0
2023-07-20,23434.333333333332,685.2708333333334,2651.8541666666665
2023-07-21,23050.083333333332,889.7708333333334,2273.1666666666665
2023-07-22,21398.770833333332,1619.9791666666667,938.4375
2023-07-23,19421.916666666668,2312.0208333333335,2167.625
2023-07-24,23286.854166666668,1239.9583333333333,1678.1875
2023-07-25,22797.4375,861.375,2518.4791666666665
2023-07-26,23122.1875,1208.1041666666667,2320.6041666666665
2023-07-27,24076.041666666668,1345.625,1664.6666666666667
2023-07-28,22926.708333333332,1161.8958333333333,1897.7916666666667
2023-07-29,18209.145833333332,2396.0833333333335,2804.4375
2023-07-30,19081.333333333332,2764.9791666666665,1576.7708333333333
2023-07-31,23180.729166666668,2040.9583333333333,1006.0208333333334
2023-08-01,22746.833333333332,1554.0208333333333,2014.0416666666667
2023-08-02,22979.4375,2087.5208333333335,1643.3333333333333
2023-08-03,22583.770833333332,1859.0625,2150.5208333333335
2023-08-04,22690.104166666668,1117.1041666666667,1823.6875
2023-08-05,21168.958333333332,1417.8958333333333,1136.875
2023-08-06,19489.041666666668,1276.9375,2547.4375
2023-08-07,21856.416666666668,1162.2708333333333,2722.8958333333335
2023-08-08,23460.625,1439.2083333333333,1655.8958333333333
2023-08-09,23132.729166666668,803.3125,2817.1041666666665
2023-08-10,23485.833333333332,917.2291666666666,2901.4791666666665
2023-08-11,21833.916666666668,2196.25,2723.0833333333335
2023-08-12,19464.6875,2722.5833333333335,1929.1875
2023-08-13,19824.916666666668,1791.8125,1945.4166666666667
2023-08-14,23723.833333333332,1404.875,1516.1041666666667
