date,national_demand,wind_generation,solar_generation,daily_average_forecast_carbon_intensity,daily_average_actual_carbon_intensity,sap_actual_p_per_kwh,sap_7day_rolling_average_p_per_kwh,day,month,weekday,weekday_number,is_weekend
2023-01-01,24189.979166666668,1733.2083333333333,245.72916666666663,106.58333333333333,107.89583333333333,5.7764,5.9602,1,1,Sunday,6,True
2023-01-02,27005.520833333332,1122.4166666666667,733.75,164.10416666666666,157.0625,5.9978,5.9704,2,1,Monday,0,False
2023-01-03,29646.3125,2927.6875,92.47916666666669,100.5,101.60416666666667,5.6898,5.9326,3,1,Tuesday,1,False
2023-01-04,27967.145833333332,3670.3125,336.7291666666667,65.16666666666667,65.5,5.0746,5.8222,4,1,Wednesday,2,False
2023-01-05,29392.5,2528.2291666666665,228.47916666666663,103.83333333333333,105.22916666666667,5.0837,5.7133,5,1,Thursday,3,False
2023-01-06,28316.125,3102.8541666666665,463.3958333333333,84.16666666666667,85.04166666666667,5.1781,5.6238,6,1,Friday,4,False
2023-01-07,25280.9375,3435.125,245.91666666666663,61.333333333333336,64.47916666666667,5.6533,5.53,7,1,Saturday,5,True
2023-01-08,26629.479166666668,3074.6458333333335,316.8958333333333,69.08333333333333,69.66666666666667,5.8583,5.4934,8,1,Sunday,6,True
2023-01-09,30403.104166666668,2832.2291666666665,586.2708333333334,77.95833333333333,83.83333333333333,5.8128,5.5051,9,1,Monday,0,False
2023-01-10,31143.895833333332,3470.0,60.041666666666664,78.5,81.125,5.6208,5.4787,10,1,Tuesday,1,False
2023-01-11,29849.6875,3869.8958333333335,452.2083333333333,67.72916666666667,71.47916666666667,5.4858,5.4688,11,1,Wednesday,2,False
2023-01-12,30083.520833333332,3594.1041666666665,184.95833333333337,75.77083333333333,76.8125,5.6646,5.5275,12,1,Thursday,3,False
2023-01-13,29244.958333333332,3487.875,646.0208333333334,82.08333333333333,85.02083333333333,5.5287,5.6105,13,1,Friday,4,False
2023-01-14,26709.229166666668,3664.0625,265.7083333333333,64.1875,63.0,5.4769,5.6606,14,1,Saturday,5,True
2023-01-15,27734.791666666668,2670.7291666666665,639.1041666666666,114.6875,117.91666666666667,5.6585,5.6354,15,1,Sunday,6,True
2023-01-16,33672.125,1636.875,624.8541666666666,181.45833333333334,179.47916666666666,5.2956,5.6069,16,1,Monday,0,False
2023-01-17,35442.354166666664,1541.0625,860.8333333333334,208.70833333333334,207.41666666666666,5.1855,5.533,17,1,Tuesday,1,False
2023-01-18,34685.1875,2478.7291666666665,931.9583333333334,160.125,166.5625,5.3021,5.4708,18,1,Wednesday,2,False
2023-01-19,34829.125,1772.8333333333333,1061.9166666666667,204.79166666666666,207.125,5.3267,5.4446,19,1,Thursday,3,False
2023-01-20,34210.4375,1213.8125,1143.5833333333333,211.54166666666666,210.0,5.4732,5.3963,20,1,Friday,4,False
2023-01-21,31438.791666666668,1732.0208333333333,999.5208333333334,197.39583333333334,192.1875,5.6976,5.3884,21,1,Saturday,5,True
2023-01-22,31328.208333333332,1738.6666666666667,597.2708333333334,192.70833333333334,191.3125,6.1565,5.4199,22,1,Sunday,6,True
2023-01-23,35039.020833333336,1127.4375,865.6458333333334,242.45833333333334,242.9375,5.8806,5.491,23,1,Monday,0,False
2023-01-24,35124.4375,996.8333333333334,807.3541666666666,246.0,243.64583333333334,5.1437,5.5746,24,1,Tuesday,1,False
